nombre,descripcion,precio_venta,costo,stock,categoria,peso_kg,imagen_url,activo
"Alimento Balanceado Perro Adulto 1kg","Alimento balanceado completo para perros adultos. Formulado con proteínas de alta calidad para el bienestar diario de tu mascota.",0,0,0,"Perros - Alimento",1,"",si
"Alimento Balanceado Perro Adulto 3kg","Alimento balanceado completo para perros adultos. Formulado con proteínas de alta calidad para el bienestar diario de tu mascota.",0,0,0,"Perros - Alimento",3,"",si
"Alimento Balanceado Cachorro 1kg","Alimento especialmente formulado para cachorros en crecimiento. Rico en nutrientes esenciales para su desarrollo.",0,0,0,"Perros - Alimento",1,"",si
"Alimento Balanceado Gato Adulto 1kg","Alimento completo y equilibrado para gatos adultos. Cuida su pelaje, digestión y vitalidad.",0,0,0,"Gatos - Alimento",1,"",si
"Alimento Balanceado Gatito 500g","Formulado especialmente para gatitos de hasta 12 meses. Apoya el crecimiento y sistema inmunológico.",0,0,0,"Gatos - Alimento",0.5,"",si
"Premio/Snack Perro","Snack natural para perros. Ideal para entrenamiento y recompensa.",0,0,0,"Perros - Premios",0.2,"",si
"Premio/Snack Gato","Snack irresistible para gatos. Rico en proteínas y sin colorantes artificiales.",0,0,0,"Gatos - Premios",0.08,"",si
"Consulta Veterinaria a Domicilio","Visita de veterinario profesional en la comodidad de tu hogar. Incluye revisación clínica general y asesoramiento.",0,0,0,"Veterinaria - Consultas",0,"",si
"Vacuna + Consulta a Domicilio","Aplicación de vacuna con revisación clínica previa. El veterinario lleva todo lo necesario.",0,0,0,"Veterinaria - Vacunas",0,"",si
"Desparasitación a Domicilio","Tratamiento antiparasitario interno y/o externo con consulta veterinaria incluida.",0,0,0,"Veterinaria - Tratamientos",0,"",si
